step,L_total,L_data,L_position,L_velocity,L_rsf,L_state,L_smooth,L_friction_reg,L_V_temporal,a_minus_b_min,a_minus_b_max,a_minus_b_mean,a_minus_b_std,tau_0_mean,tau_dot_mean,lr,w_rsf,w_state,V_log10_mean,V_log10_std,slip_max
0.0,0.018562957644462585,0.018468603491783142,0.01764012686908245,0.02761586382985115,0.6531811952590942,0.880953311920166,0.00120025675278157,5.25399373145774e-05,0.09052764624357224,-0.002184942364692688,0.0036088023334741592,0.0004845345101784915,0.0007814959972165525,59999996.0,0.09999999403953552,9.999999944483476e-05,0.0,0.0,-9.752363204956055,0.11694833636283875,0.20004145801067352
99.0,0.018250804394483566,0.01824036054313183,0.017433298751711845,0.026902031153440475,0.6268919110298157,0.7966365814208984,0.0007143764523789287,1.078101149687427e-06,0.009674238972365856,-0.014019716531038284,0.014477908611297607,-4.312329110689461e-05,0.008441237732768059,59999996.0,0.09999999403953552,9.999444846167472e-05,0.0,0.0,-9.509336471557617,0.07179395109415054,0.1734100729227066
199.0,0.0181515384465456,0.018145883455872536,0.017496243119239807,0.021654663607478142,0.6438078880310059,0.8021337985992432,0.0005476000369526446,6.713736411256832e-07,0.0050730290822684765,-0.012884832918643951,0.014221835881471634,-3.080442184000276e-05,0.007953545078635216,59999996.0,0.09999999403953552,9.997779521645799e-05,0.0,0.0,-9.542630195617676,0.06892537325620651,0.17318446934223175
299.0,0.01906924694776535,0.019063295796513557,0.018330872058868408,0.024414129555225372,0.6065373420715332,0.8245993852615356,0.00048090011114254594,5.438558901005308e-07,0.005441775545477867,-0.012868279591202736,0.014495049603283405,6.105395004851744e-05,0.007925746962428093,59999996.0,0.09999999403953552,9.995004437328878e-05,0.0,0.0,-9.605374336242676,0.07340355217456818,0.15778979659080505
399.0,0.019185924902558327,0.019180921837687492,0.01842009834945202,0.02536076307296753,0.6614607572555542,0.8376013040542603,0.00041164096910506487,4.6912313678149076e-07,0.0045666880905628204,-0.012602077797055244,0.014205345883965492,-7.140708021324826e-06,0.00790836475789547,59999996.0,0.09999999403953552,9.991120277927234e-05,0.0,0.0,-9.633018493652344,0.0904989168047905,0.1933678835630417
499.0,0.019050147384405136,0.019038066267967224,0.01816457509994507,0.029116397723555565,0.5573548674583435,0.7877432703971863,0.0004681300779338926,3.997873534444807e-07,0.011593731120228767,-0.012480435892939568,0.014051157981157303,-3.5129526168020675e-06,0.007999321445822716,59999996.0,0.09999999403953552,9.986128001799085e-05,0.0,0.0,-9.550148010253906,0.08526243269443512,0.20653443038463593
599.0,0.018748173490166664,0.018715348094701767,0.017938872799277306,0.025882497429847717,0.6002486944198608,0.47394299507141113,0.0025630134623497725,3.776776225095091e-07,0.030243633314967155,-0.012070508673787117,0.014416051097214222,-7.709443707426544e-06,0.007966652512550354,59999996.0,0.09999999403953552,9.98002884071387e-05,0.0,0.0,-9.088484764099121,0.17584660649299622,0.6269881725311279
699.0,0.018778301775455475,0.018753550946712494,0.01800842583179474,0.024837512522935867,0.5925025343894958,0.5494402647018433,0.0036145118065178394,3.4388489211778506e-07,0.021119534969329834,-0.011920087039470673,0.014306921511888504,2.024079003604129e-05,0.007980802096426487,59999996.0,0.09999999403953552,9.972824299548328e-05,0.0,0.0,-9.195863723754883,0.15714992582798004,0.9573900699615479
799.0,0.01864088512957096,0.018452083691954613,0.01768431067466736,0.02559245005249977,0.535852313041687,0.5468865633010864,0.005606317427009344,3.193592874595197e-07,0.18317796289920807,-0.012227321043610573,0.014368599280714989,1.1708170859492384e-05,0.007968676276504993,59999996.0,0.09999999403953552,9.96451615591517e-05,0.0,0.0,-9.183990478515625,0.3559821844100952,0.9749267101287842
899.0,0.018278073519468307,0.018256444483995438,0.017550373449921608,0.023535706102848053,0.604145884513855,0.8164867758750916,0.0033980575390160084,2.981353759423655e-07,0.01821707747876644,-0.012034472078084946,0.014165788888931274,-2.4440223569399677e-05,0.008017701096832752,59999996.0,0.09999999403953552,9.955106459724526e-05,0.0,0.0,-9.532940864562988,0.05317382514476776,0.3371671438217163
