index,date,time_seconds,n_valid_components,n_valid_stations,rmse_m,rmse_mm,mae_m,mae_mm,max_abs_m,max_abs_mm,n_valid_velocity_components,n_valid_velocity_stations,velocity_rmse_m_per_s,velocity_rmse_mm_per_day,velocity_mae_m_per_s,velocity_mae_mm_per_day,velocity_max_abs_m_per_s,velocity_max_abs_mm_per_day
784,2000-01-01T11:59:00,43140.0,6,2,0.0051259263418614864,5.125926341861486,0.0034107810351997614,3.4107810351997614,0.01100141927599907,11.00141927599907,6,2,3.0816424967383682e-09,0.266253911718195,2.2112833786280817e-09,0.19105488391346626,6.184405876297205e-09,0.5343326677120785
785,2000-01-02T11:59:00,129540.0,6,2,0.0032531495671719313,3.2531495671719313,0.0021627636160701513,2.1627636160701513,0.00662753451615572,6.62753451615572,6,2,2.610095473087881e-09,0.22551224887479293,1.7553819509075197e-09,0.1516650005584097,5.591648033487218e-09,0.4831183900932956
786,2000-01-03T11:59:00,215940.0,6,2,0.0027543685864657164,2.7543685864657164,0.00196711509488523,1.96711509488523,0.00468660332262516,4.68660332262516,6,2,1.5432940481119317e-09,0.1333406057568709,1.108910852032352e-09,0.09580989761559522,2.4670609999333237e-09,0.21315407039423917
787,2000-01-04T11:59:00,302340.0,6,2,0.003517954610288143,3.517954610288143,0.0025034344289451838,2.5034344289451838,0.00689186155796051,6.89186155796051,6,2,1.1509379005403275e-09,0.0994410346066843,9.885828822220333e-10,0.08541356102398368,2.087750416990275e-09,0.18038163602795976
788,2000-01-05T11:59:00,388740.0,6,2,0.0038394597359001637,3.8394597359001637,0.002643652493134141,2.643652493134141,0.0073556057177484035,7.3556057177484035,6,2,1.5960915922264007e-09,0.13790231356836102,1.051608466973164e-09,0.09085897154648137,3.6762921595823173e-09,0.3176316425879122
789,2000-01-06T11:59:00,475140.0,6,2,0.003827819600701332,3.827819600701332,0.0027527036145329475,2.7527036145329475,0.008056651800870895,8.056651800870895,6,2,2.113310415552405e-09,0.1825900199037278,1.337968402737033e-09,0.11560046999647966,4.865527980513207e-09,0.42038161751634107
790,2000-01-07T11:59:00,561540.0,6,2,0.004529969301074743,4.529969301074743,0.003098331391811371,3.098331391811371,0.0087917884811759,8.7917884811759,6,2,2.210053695606007e-09,0.190948639300359,1.5973370404154252e-09,0.13800992029189274,4.931665742446967e-09,0.42609592014741793
791,2000-01-08T11:59:00,647940.0,6,2,0.004033802077174187,4.033802077174187,0.003146373899653554,3.146373899653554,0.007928745821118355,7.928745821118355,6,2,2.1757242674169675e-09,0.187982576704826,1.5955802235012584e-09,0.13785813131050872,4.2289540758133626e-09,0.3653816321502745
792,2000-01-09T11:59:00,734340.0,6,2,0.00370540888980031,3.70540888980031,0.0026432089507579803,2.6432089507579803,0.006251739338040352,6.251739338040352,6,2,2.963673084721563e-09,0.25606135451994305,2.080825067807268e-09,0.17978328585854797,5.730943719584047e-09,0.4951535373720617
793,2000-01-10T11:59:00,820740.0,6,2,0.002796654822304845,2.796654822304845,0.0020272841211408377,2.0272841211408377,0.005450837314128876,5.450837314128876,6,2,2.268454757370364e-09,0.19599449103679945,1.4500570744147012e-09,0.12528493122943019,5.011030701496111e-09,0.432953052609264
