step,L_total,L_data,L_position,L_velocity,L_rsf,L_state,L_smooth,L_friction_reg,L_V_temporal,a_minus_b_min,a_minus_b_max,a_minus_b_mean,a_minus_b_std,tau_0_mean,tau_dot_mean,lr,w_rsf,w_state,V_log10_mean,V_log10_std,slip_max
0.0,0.009366518817842007,0.008416298776865005,0.007715731393545866,0.023352261632680893,0.05746714025735855,0.6842859983444214,0.005299182143062353,5.4906948207644746e-05,0.9421752095222473,-0.005830574780702591,0.0025092046707868576,-0.002930312417447567,0.001196776400320232,59999996.0,0.09999999403953552,9.999999944483476e-05,0.0,0.0,-8.932489395141602,0.17159099876880646,0.4404895305633545
99.0,0.007534501608461142,0.006751368287950754,0.0057927751913666725,0.0319531075656414,0.016138656064867973,0.3403870463371277,0.00899119395762682,7.262921144501888e-07,0.774105966091156,-0.012256059795618057,0.015583176165819168,-4.194348366581835e-05,0.008247340098023415,59999996.0,0.09999999403953552,9.999444846167472e-05,0.0,0.0,-8.711551666259766,0.4198184311389923,0.6255261301994324
199.0,0.005822586826980114,0.005665273405611515,0.004926394671201706,0.02462928555905819,0.019133536145091057,0.35233384370803833,0.0031862787436693907,5.934048772360256e-07,0.1540975570678711,-0.01184062846004963,0.015451505780220032,-3.064745760639198e-05,0.007895248010754585,59999996.0,0.09999999403953552,9.997779521645799e-05,0.0,0.0,-9.010098457336426,0.09907369315624237,0.2845765948295593
299.0,0.005479574203491211,0.005160706117749214,0.004363302141427994,0.026580138131976128,0.036340903490781784,0.5186120271682739,0.0026930421590805054,5.197204018259072e-07,0.316148966550827,-0.011683478951454163,0.015480993315577507,-3.331220068503171e-05,0.007954036816954613,59999996.0,0.09999999403953552,9.995004437328878e-05,0.0,0.0,-9.103632926940918,0.11815005540847778,0.19056326150894165
399.0,0.004941010382026434,0.004858845379203558,0.00422307662665844,0.021192297339439392,0.05220742151141167,0.7060765027999878,0.001398253720253706,4.4125323483967804e-07,0.08074477314949036,-0.011506527662277222,0.015150537714362144,4.2297018808312714e-05,0.007997823879122734,59999996.0,0.09999999403953552,9.991120277927234e-05,0.0,0.0,-8.88759994506836,0.15486101806163788,0.23955416679382324
499.0,0.005467940121889114,0.005434620659798384,0.004639586433768272,0.026501137763261795,0.04395473003387451,0.6174025535583496,0.0013328472850844264,4.150707297867484e-07,0.03196584805846214,-0.011935954913496971,0.01574523374438286,1.4708921298733912e-05,0.007931194268167019,59999996.0,0.09999999403953552,9.986128001799085e-05,0.0,0.0,-8.904092788696289,0.17358627915382385,0.3219917118549347
599.0,0.00599125400185585,0.005930940620601177,0.005188039503991604,0.02476336620748043,0.0652274638414383,0.665493905544281,0.0010763374157249928,3.623660518314864e-07,0.05921925976872444,-0.011314976960420609,0.015129970386624336,-1.745986992318649e-05,0.00796959176659584,59999996.0,0.09999999403953552,9.98002884071387e-05,0.0,0.0,-9.1874418258667,0.06696371734142303,0.2431638240814209
699.0,0.005488989409059286,0.0054047442972660065,0.0047136032953858376,0.02303803339600563,0.037268705666065216,0.7215228080749512,0.00106460927054286,3.2802390137476323e-07,0.08316408842802048,-0.011245261877775192,0.015782224014401436,3.9160818232630845e-06,0.007984434254467487,59999996.0,0.09999999403953552,9.972824299548328e-05,0.0,0.0,-9.292567253112793,0.08015456795692444,0.20341745018959045
799.0,0.0061374567449092865,0.005381773691624403,0.004626044072210789,0.025190990418195724,0.03189406916499138,1.6359566450119019,0.0021064728498458862,3.03593395756252e-07,0.75356125831604,-0.011177007108926773,0.01493716612458229,-3.0502698791678995e-05,0.00799535121768713,59999996.0,0.09999999403953552,9.96451615591517e-05,0.0,0.0,-8.89377498626709,0.04104984551668167,0.30909234285354614
899.0,0.005550418980419636,0.0054710377007722855,0.004700975492596626,0.025668736547231674,0.03313460573554039,1.8178666830062866,0.0014855009503662586,2.809524062286073e-07,0.07788205146789551,-0.010990738868713379,0.014864541590213776,2.2527277906192467e-05,0.007997936569154263,59999996.0,0.09999999403953552,9.955106459724526e-05,0.0,0.0,-8.771360397338867,0.06001180037856102,0.2214854508638382
999.0,0.0050691780634224415,0.005042172037065029,0.004362530540674925,0.022654719650745392,0.04441804811358452,1.5138739347457886,0.000957510550506413,2.5915232981787995e-07,0.026035664603114128,-0.010919660329818726,0.015144739300012589,-4.6579978516092524e-05,0.007972164079546928,59999996.0,0.09999999403953552,9.944597532678134e-05,0.0,0.0,-9.157590866088867,0.0340581089258194,0.21162739396095276
1099.0,0.004588158335536718,0.0045402152463793755,0.003852748777717352,0.022915547713637352,0.044534049928188324,1.4077481031417847,0.0009466898627579212,2.3721376862795296e-07,0.04698484018445015,-0.010865723714232445,0.015168892219662666,-2.0173334633000195e-05,0.008004228584468365,59999996.0,0.09999999403953552,9.932991967696495e-05,0.0,0.0,-9.099387168884277,0.0700061246752739,0.12669110298156738
1199.0,0.005072809290140867,0.00505129573866725,0.004320140928030014,0.02437182143330574,0.07266891002655029,1.3107125759124756,0.0007125401753000915,2.2633791729731456e-07,0.020790060982108116,-0.010842010378837585,0.015110019594430923,2.5952629584935494e-05,0.007978920824825764,59999996.0,0.09999999403953552,9.92029262827912e-05,0.0,0.0,-9.054572105407715,0.10038737952709198,0.2051125019788742
1299.0,0.005152129102498293,0.005072032101452351,0.004468536004424095,0.020116541534662247,0.018983028829097748,1.351891279220581,0.001010159496217966,2.119845419201738e-07,0.0790761411190033,-0.010542675852775574,0.014828424900770187,-8.26572249934543e-06,0.007962150499224663,59999996.0,0.09999999403953552,9.906502647797964e-05,0.0,0.0,-9.209637641906738,0.04200788214802742,0.12211711704730988
1399.0,0.0047894008457660675,0.004758066032081842,0.0041914042085409164,0.01888873055577278,0.05208992213010788,1.3029940128326416,0.0007575961644761264,1.96316904066407e-07,0.030567273497581482,-0.01084974780678749,0.014901312068104744,-3.674778781714849e-06,0.007990021258592606,59999996.0,0.09999999403953552,9.891625428724375e-05,0.0,0.0,-9.208502769470215,0.05387625843286514,0.1178104355931282
1499.0,0.004796408582478762,0.004742723889648914,0.003923846874386072,0.027295909821987152,0.0255901962518692,1.285862684249878,0.0008991198847070336,1.958997870588064e-07,0.05277590826153755,-0.010616075247526169,0.015222704038023949,6.823548119427869e-06,0.007969744503498077,59999996.0,0.09999999403953552,9.87566464178955e-05,0.0,0.0,-9.230795860290527,0.10121679306030273,0.1753358244895935
