index,date,time_seconds,n_valid_components,n_valid_stations,rmse_m,rmse_mm,mae_m,mae_mm,max_abs_m,max_abs_mm,n_valid_velocity_components,n_valid_velocity_stations,velocity_rmse_m_per_s,velocity_rmse_mm_per_day,velocity_mae_m_per_s,velocity_mae_mm_per_day,velocity_max_abs_m_per_s,velocity_max_abs_mm_per_day
784,2000-01-01T11:59:00,43140.0,6,2,0.005201795604079962,5.201795604079962,0.003248782129958272,3.248782129958272,0.011307604610919952,11.307604610919952,6,2,3.078583610260921e-09,0.2659896239265436,2.205042148872849e-09,0.19051564166261414,6.184589729230083e-09,0.5343485526054792
785,2000-01-02T11:59:00,129540.0,6,2,0.0032372651621699333,3.2372651621699333,0.0022456543520092964,2.2456543520092964,0.006322422064840794,6.322422064840794,6,2,2.6070441361270014e-09,0.22524861336137292,1.749140499107682e-09,0.15112573912290372,5.5918318864200955e-09,0.48313427498669625
786,2000-01-03T11:59:00,215940.0,6,2,0.0026247352361679077,2.6247352361679077,0.0019503856310620904,1.9503856310620904,0.004591192118823528,4.591192118823528,6,2,1.5387291441015805e-09,0.13294619805037655,1.1026780599721064e-09,0.09527138438159,2.4672448528662017e-09,0.21316995528763982
787,2000-01-04T11:59:00,302340.0,6,2,0.003528112545609474,3.528112545609474,0.002570557640865445,2.570557640865445,0.0069711836986243725,6.9711836986243725,6,2,1.1494768470399208e-09,0.09931479958424916,9.864177252794093e-10,0.08522649146414096,2.087566564057397e-09,0.1803657511345591
788,2000-01-05T11:59:00,388740.0,6,2,0.003913242369890213,3.913242369890213,0.0027087677735835314,2.7087677735835314,0.0076575009152293205,7.6575009152293205,6,2,1.5936868491550626e-09,0.1376945437669974,1.0466572053502432e-09,0.09043118254226101,3.6761083066494393e-09,0.31761575769451156
789,2000-01-06T11:59:00,475140.0,6,2,0.003848765743896365,3.848765743896365,0.0025739348493516445,2.5739348493516445,0.008357474580407143,8.357474580407143,6,2,2.1107113834517577e-09,0.18236546353023186,1.3330135884004335e-09,0.11517237403779745,4.865344127580329e-09,0.4203657326229404
790,2000-01-07T11:59:00,561540.0,6,2,0.0046024504117667675,4.6024504117667675,0.0031656662467867136,3.1656662467867136,0.00887115765362978,8.87115765362978,6,2,2.2067820903970414e-09,0.19066597261030438,1.5910295303456223e-09,0.13746495142186177,4.931481889514089e-09,0.4260800352540173
791,2000-01-08T11:59:00,647940.0,6,2,0.004059320781379938,4.059320781379938,0.0029665252659469843,2.9665252659469843,0.008227421902120113,8.227421902120113,6,2,2.171010260454409e-09,0.18757528650326094,1.5892727134314555e-09,0.13731316244047775,4.228770222880485e-09,0.3653657472568739
792,2000-01-09T11:59:00,734340.0,6,2,0.003747064620256424,3.747064620256424,0.0025379450526088476,2.5379450526088476,0.006447397172451019,6.447397172451019,6,2,2.957880385068279e-09,0.2555608652698993,2.0745209994288416e-09,0.17923861435065191,5.718532314347158e-09,0.49408119195959443
793,2000-01-10T11:59:00,820740.0,6,2,0.002802021335810423,2.802021335810423,0.002080775098875165,2.080775098875165,0.005747371353209019,5.747371353209019,6,2,2.2651571729426223e-09,0.19570957974224257,1.4451027041673115e-09,0.12485687364005571,5.010846848563233e-09,0.4329371677158633
794,2000-01-11T11:59:00,907140.0,6,2,0.0033374179620295763,3.3374179620295763,0.002391486195847392,2.391486195847392,0.006527344696223736,6.527344696223736,6,2,2.186325565034508e-09,0.1888985288189815,1.1709712088858737e-09,0.10117191244773949,5.252662305110789e-09,0.45383002316157217
795,2000-01-12T11:59:00,993540.0,6,2,0.002626114757731557,2.626114757731557,0.0016685081645846367,1.6685081645846367,0.006027319002896547,6.027319002896547,6,2,1.966490303928481e-09,0.16990476225942075,1.3418611777282763e-09,0.11593680575572307,4.161392563872823e-09,0.35954431751861193
796,2000-01-13T11:59:00,1079940.0,6,2,0.0027605637442320585,2.7605637442320585,0.0020159671548753977,2.0159671548753977,0.006007292773574591,6.007292773574591,6,2,1.8908792309701994e-09,0.16337196555582523,1.1789628162617305e-09,0.10186238732501351,4.435449785233914e-09,0.38322286144421014
797,2000-01-14T11:59:00,1166340.0,6,2,0.002564151305705309,2.564151305705309,0.0017492534825578332,1.7492534825578332,0.004397266544401646,4.397266544401646,6,2,1.960723139404763e-09,0.16940647924457153,1.3965278933270042e-09,0.12066000998345316,4.377993079174303e-09,0.37825860204065975
798,2000-01-15T11:59:00,1252740.0,6,2,0.00424682442098856,4.24682442098856,0.0027365845162421465,2.7365845162421465,0.009487241506576538,9.487241506576538,6,2,1.6537777813852017e-09,0.14288640031168143,1.3937562215460275e-09,0.12042053754157678,2.989263281349963e-09,0.2582723475086368
799,2000-01-16T11:59:00,1339140.0,6,2,0.00398706691339612,3.98706691339612,0.0024903558660298586,2.4903558660298586,0.009277215227484703,9.277215227484703,6,2,1.7910322114289556e-09,0.15474518306746177,1.5059516966786646e-09,0.13011422659303662,2.7512103706328617e-09,0.23770457602267925
800,2000-01-17T11:59:00,1425540.0,6,2,0.0031642771791666746,3.1642771791666746,0.0020375617314130068,2.037561731413007,0.007187189068645239,7.187189068645239,6,2,1.9566852582642014e-09,0.169057606314027,1.7289126796882215e-09,0.14937805552506234,2.749556804459985e-09,0.2375617079053427
801,2000-01-18T11:59:00,1511940.0,6,2,0.001586620812304318,1.586620812304318,0.0012016072869300842,1.2016072869300842,0.0032671629451215267,3.2671629451215267,6,2,1.413038019926205e-09,0.1220864849216241,1.129362714458182e-09,0.09757693852918692,2.2582606895582558e-09,0.1951137235778333
802,2000-01-19T11:59:00,1598340.0,6,2,0.0017007577698677778,1.7007577698677778,0.0013174988562241197,1.3174988562241197,0.002981054363772273,2.981054363772273,6,2,1.1847388625696453e-09,0.10236143772601736,9.782591403606489e-10,0.08452158972716006,2.0085917373791062e-09,0.17354232610955478
803,2000-01-20T11:59:00,1684740.0,6,2,0.004878798499703407,4.878798499703407,0.002565053990110755,2.565053990110755,0.011807110160589218,11.807110160589218,6,2,1.2307352914575631e-09,0.10633552918193345,8.9833446237364e-10,0.0776160975490825,2.358881978636873e-09,0.20380740295422584
804,2000-01-21T11:59:00,1771140.0,6,2,0.001559664262458682,1.559664262458682,0.0013834978453814983,1.3834978453814983,0.0022270847111940384,2.2270847111940384,6,2,1.2773824220602137e-09,0.11036584126600246,9.629466113381113e-10,0.08319858721961282,2.706435520138939e-09,0.23383602894000433
805,2000-01-22T11:59:00,1857540.0,3,1,0.001743796980008483,1.743796980008483,0.0015234333695843816,1.5234333695843816,0.0025570597499608994,2.5570597499608994,3,1,4.553152577191355e-10,0.03933923826693331,3.9657668815529235e-10,0.03426422585661726,6.790381035237658e-10,0.058668892144453366
806,2000-01-23T11:59:00,1943940.0,3,1,0.0012801868142560124,1.2801868142560124,0.0012519960291683674,1.2519960291683674,0.0016070334240794182,1.6070334240794182,3,1,6.23676499333925e-10,0.05388564954245112,5.638725042445003e-10,0.048718584366724826,9.272779766256178e-10,0.08011681718045338
807,2000-01-24T11:59:00,2030340.0,6,2,0.002487617079168558,2.487617079168558,0.0019393862457945943,1.9393862457945943,0.004787007346749306,4.787007346749306,6,2,2.4614583704618553e-09,0.2126700032079043,1.6213735909431648e-09,0.14008667825748944,5.4069340116313924e-09,0.4671590986049523
808,2000-01-25T11:59:00,2116740.0,6,2,0.003961268346756697,3.9612683467566967,0.0028252119664102793,2.8252119664102793,0.007926980033516884,7.926980033516884,6,2,1.844055463884331e-09,0.1593263920796062,1.3865842918292515e-09,0.11980088281404733,3.832370421008591e-09,0.33111680437514224
809,2000-01-26T11:59:00,2203140.0,6,2,0.0029011110309511423,2.9011110309511423,0.0018878892296925187,1.8878892296925187,0.006786953657865524,6.786953657865524,6,2,1.2010508143589504e-09,0.10377079036061332,9.549031565470045e-10,0.08250363272566119,1.886576450615962e-09,0.16300020533321913
810,2000-01-27T11:59:00,2289540.0,6,2,0.005147501826286316,5.147501826286316,0.0032028022687882185,3.2028022687882185,0.010996929369866848,10.996929369866848,6,2,1.0823869578402423e-09,0.09351823315739693,9.902805242489876e-10,0.08556023729511253,1.5853680590538488e-09,0.13697580030225254
811,2000-01-28T11:59:00,2375940.0,6,2,0.004263947252184153,4.263947252184153,0.0029734193813055754,2.9734193813055754,0.007736902218312025,7.736902218312025,6,2,1.2990947206859005e-09,0.1122417838672618,1.1619699646914228e-09,0.10039420494933893,1.937529026108109e-09,0.16740250785574062
812,2000-01-29T11:59:00,2462340.0,6,2,0.0015188385732471943,1.5188385732471943,0.0010479990160092711,1.0479990160092711,0.003486876143142581,3.486876143142581,6,2,1.7674741670248295e-09,0.15270976803094527,1.4317497187832373e-09,0.1237031757028717,3.129245307320616e-09,0.27036679455250123
813,2000-01-30T11:59:00,2548740.0,6,2,0.0044835410080850124,4.483541008085012,0.003080379916355014,3.080379916355014,0.0077968500554561615,7.7968500554561615,6,2,1.6860813856212076e-09,0.14567743171767233,1.3401163512227754e-09,0.1157860527456478,3.129245085276011e-09,0.27036677536784737
814,2000-01-31T11:59:00,2635140.0,6,2,0.00510657113045454,5.10657113045454,0.0033370833843946457,3.3370833843946457,0.009910951368510723,9.910951368510723,6,2,1.4530067149465253e-09,0.1255397801713798,1.1011901390745038e-09,0.09514282801603713,2.9229785258877428e-09,0.252545344636701
815,2000-02-01T11:59:00,2721540.0,6,2,0.0058822063729166985,5.8822063729166985,0.004551936872303486,4.551936872303486,0.009769057855010033,9.769057855010033,6,2,1.4122791824888736e-09,0.12202092136703868,1.0717724485687086e-09,0.09260113955633642,2.6968589583731273e-09,0.2330086140034382
816,2000-02-02T11:59:00,2807940.0,6,2,0.0014585733879357576,1.4585733879357576,0.0011383589589968324,1.1383589589968324,0.0028438398148864508,2.8438398148864508,6,2,2.2709329972059322e-09,0.19620861095859254,1.3602301507376069e-09,0.11752388502372924,5.313840034659734e-09,0.459115778994601
817,2000-02-03T11:59:00,2894340.0,6,2,0.0018341594841331244,1.8341594841331244,0.0015115138376131654,1.5115138376131654,0.003106745658442378,3.106745658442378,6,2,4.1316079446573895e-09,0.35697092641839845,2.330314829990243e-09,0.201339201311157,9.31350907507067e-09,0.8046871840861058
818,2000-02-04T11:59:00,2980740.0,6,2,0.004237095359712839,4.237095359712839,0.002994150621816516,2.994150621816516,0.00799671933054924,7.99671933054924,6,2,5.065439179219311e-09,0.43765394508454847,2.719701130970975e-09,0.23498217771589225,1.182591002901745e-08,1.0217586265071077
819,2000-02-05T11:59:00,3067140.0,6,2,0.005811482202261686,5.811482202261686,0.0033217184245586395,3.3217184245586395,0.013536693528294563,13.536693528294563,6,2,5.2323545496335555e-09,0.4520754330883392,2.823895783876651e-09,0.24398459572694264,1.235501034813069e-08,1.0674728940784917
820,2000-02-06T11:59:00,3153540.0,6,2,0.004497646354138851,4.497646354138851,0.002506739692762494,2.506739692762494,0.010656667873263359,10.656667873263359,6,2,6.5160685736032065e-09,0.562988324759317,3.2849296616177526e-09,0.2838179227637738,1.5832606337085053e-08,1.3679371875241486
821,2000-02-07T11:59:00,3239940.0,6,2,0.005141229834407568,5.141229834407568,0.0028683263808488846,2.8683263808488846,0.012186640873551369,12.186640873551369,6,2,6.204123437214548e-09,0.536036264975337,3.161058970135855e-09,0.27311549501973786,1.5057969093845713e-08,1.3010085297082696
822,2000-02-08T11:59:00,3326340.0,6,2,0.003199855098500848,3.199855098500848,0.001959714572876692,1.9597145728766918,0.0074766152538359165,7.4766152538359165,6,2,4.9324100359626755e-09,0.42616022710717516,2.6354036730680264e-09,0.22769887735307748,1.1813509281921597e-08,1.020687201958026
823,2000-02-09T11:59:00,3412740.0,6,2,0.004350810777395964,4.350810777395964,0.003204774810001254,3.204774810001254,0.00846912618726492,8.46912618726492,6,2,7.042654015521066e-09,0.6084853069410201,3.776557289114635e-09,0.32629454977950445,1.7031348775731203e-08,1.471508534223176
824,2000-02-10T11:59:00,3499140.0,6,2,0.008396713063120842,8.396713063120842,0.005630773957818747,5.630773957818747,0.017146563157439232,17.146563157439232,6,2,7.507427568498315e-09,0.6486417419182544,4.4804404630838235e-09,0.38711005601044235,1.743520172681201e-08,1.5064014291965577
825,2000-02-11T11:59:00,3585540.0,6,2,0.005534018389880657,5.534018389880657,0.0033398540690541267,3.3398540690541267,0.01263914443552494,12.63914443552494,6,2,7.858639072821916e-09,0.6789864158918135,4.960971633494182e-09,0.42862794913389735,1.7571197830079655e-08,1.5181514925188822
826,2000-02-12T11:59:00,3671940.0,6,2,0.0046839662827551365,4.6839662827551365,0.00311323837377131,3.11323837377131,0.00929915253072977,9.29915253072977,6,2,7.457540363020598e-09,0.6443314873649797,4.992111168888869e-09,0.43131840499199825,1.5323760038654655e-08,1.3239728673397622
827,2000-02-13T11:59:00,3758340.0,6,2,0.006728991866111755,6.728991866111755,0.004150523338466883,4.150523338466883,0.014989160932600498,14.989160932600498,6,2,6.853119849381528e-09,0.592109554986564,4.595355207470675e-09,0.3970386899254663,1.4248198176858295e-08,1.2310443224805567
828,2000-02-14T11:59:00,3844740.0,6,2,0.004875445272773504,4.875445272773504,0.003391820238903165,3.391820238903165,0.010079169645905495,10.079169645905495,6,2,5.622730281373833e-09,0.4858038963106992,3.9416954145110594e-09,0.34056248381375553,1.089957013533649e-08,0.9417228596930727
829,2000-02-15T11:59:00,3931140.0,6,2,0.003799988655373454,3.799988655373454,0.002786451019346714,2.786451019346714,0.006999177858233452,6.999177858233452,6,2,3.7853133960652485e-09,0.3270510774200375,2.765411677430052e-09,0.23893156892995648,7.156184533840815e-09,0.6182943437238464
830,2000-02-16T11:59:00,4017540.0,6,2,0.006771514657884836,6.771514657884836,0.0037033052649348974,3.7033052649348974,0.016169186681509018,16.169186681509018,6,2,2.8289404152559428e-09,0.24442045187811345,2.126633091847907e-09,0.18374109913565917,5.038745864993643e-09,0.4353476427354508
831,2000-02-17T11:59:00,4103940.0,6,2,0.005662549287080765,5.662549287080765,0.0033617562148720026,3.3617562148720026,0.013509195297956467,13.509195297956467,6,2,2.4960964406517405e-09,0.21566273247231038,1.8318390138105656e-09,0.15827089079323287,5.248319112638455e-09,0.45345477133196255
832,2000-02-18T11:59:00,4190340.0,6,2,0.006830100901424885,6.830100901424885,0.004093676805496216,4.093676805496216,0.015699204057455063,15.699204057455063,6,2,9.895799735204491e-10,0.0854997097121668,7.382976452419143e-10,0.0637889165489014,1.9716162036331752e-09,0.17034763999390634
833,2000-02-19T11:59:00,4276740.0,6,2,0.005759131163358688,5.759131163358688,0.0029847261030226946,2.9847261030226946,0.013969212770462036,13.969212770462036,6,2,8.224951830726468e-10,0.07106358381747668,4.4667483600768776e-10,0.03859270583106422,1.9852572918921396e-09,0.17152623001948086
834,2000-02-20T11:59:00,4363140.0,6,2,0.007665812969207764,7.665812969207764,0.004125208128243685,4.125208128243685,0.018459221348166466,18.459221348166466,6,2,9.081960739010242e-10,0.07846814078504849,6.608211755576576e-10,0.05709494956818162,1.987747522136374e-09,0.1717413859125827
835,2000-02-21T11:59:00,4449540.0,6,2,0.0051144384779036045,5.1144384779036045,0.0029352472629398108,2.9352472629398108,0.012139230035245419,12.139230035245419,6,2,1.3955161470846633e-09,0.12057259510811491,1.221649004179426e-09,0.1055504739611024,2.1778929770732702e-09,0.18816995321913055
836,2000-02-22T11:59:00,4535940.0,6,2,0.0059302025474607944,5.9302025474607944,0.0038036201149225235,3.8036201149225235,0.012699238024652004,12.699238024652004,6,2,2.41217490426493e-09,0.20841191172848994,1.9255317340594047e-09,0.16636594182273257,4.759324490066774e-09,0.4112056359417693
837,2000-02-23T11:59:00,4622340.0,6,2,0.006483164150267839,6.483164150267839,0.004036007449030876,4.036007449030876,0.014839247800409794,14.839247800409794,6,2,3.7945100395120335e-09,0.3278456674138397,2.720284442148113e-09,0.23503257580159698,7.902513310398263e-09,0.6827771500184099
838,2000-02-24T11:59:00,4708740.0,6,2,0.005051353480666876,5.051353480666876,0.0027532565873116255,2.7532565873116255,0.011849256232380867,11.849256232380867,6,2,5.326015184436983e-09,0.46016771193535533,3.6742269227119095e-09,0.317453206122309,1.1717824044410463e-08,1.012419997437064
839,2000-02-25T11:59:00,4795140.0,6,2,0.0043693543411791325,4.3693543411791325,0.0026887382846325636,2.6887382846325636,0.010309264063835144,10.309264063835144,6,2,5.2801820693559876e-09,0.4562077307923573,3.5631935180191476e-09,0.30785991995685436,1.1755026285698023e-08,1.0156342710843091
840,2000-02-26T11:59:00,4881540.0,6,2,0.00396802369505167,3.96802369505167,0.0026321103796362877,2.6321103796362877,0.00879927258938551,8.79927258938551,6,2,4.140671805430429e-09,0.3577540439891891,2.9407061230557474e-09,0.2540770090320166,9.124404343197057e-09,0.7883485352522257
841,2000-02-27T11:59:00,4967940.0,6,2,0.004677857272326946,4.677857272326946,0.0030954841058701277,3.0954841058701277,0.009869282133877277,9.869282133877277,6,2,3.438372253583566e-09,0.2970753627096201,2.621099115529546e-09,0.22646296358175277,7.0220562697898e-09,0.6067056617098388
842,2000-02-28T11:59:00,5054340.0,6,2,0.005701411049813032,5.701411049813032,0.004028999712318182,4.028999712318182,0.01002609170973301,10.02609170973301,6,2,2.4817699006973726e-09,0.214424919420253,2.0120982657800823e-09,0.1738452901633991,4.4079913052996744e-09,0.38085044877789187
843,2000-02-29T11:59:00,5140740.0,6,2,0.003164272289723158,3.164272289723158,0.0023795778397470713,2.3795778397470713,0.005959298927336931,5.959298927336931,6,2,1.8458798933806975e-09,0.15948402278809226,1.4652137281245814e-09,0.12659446610996383,3.3108036312512468e-09,0.2860534337401077
844,2000-03-01T11:59:00,5227140.0,6,2,0.004393312614411116,4.393312614411116,0.003522409126162529,3.522409126162529,0.006949307397007942,6.949307397007942,6,2,8.993788491729049e-10,0.07770633256853898,7.810474489389208e-10,0.06748249958832275,1.3592409420226659e-09,0.11743841739075833
845,2000-03-02T11:59:00,5313540.0,6,2,0.005290393251925707,5.290393251925707,0.00442134216427803,4.42134216427803,0.009112048894166946,9.112048894166946,6,2,9.238345644035917e-10,0.07981930636447032,7.955215930444126e-10,0.06873306563903725,1.5171301992467079e-09,0.13108004921491556
846,2000-03-03T11:59:00,5399940.0,6,2,0.004279170650988817,4.279170650988817,0.0030591886024922132,3.0591886024922132,0.007355985697358847,7.355985697358847,6,2,1.448237751944248e-09,0.12512774176798303,1.023690132662125e-09,0.0884468274620076,3.1031917036017376e-09,0.2681157631911901
847,2000-03-04T11:59:00,5486340.0,6,2,0.0064011914655566216,6.4011914655566216,0.004366150125861168,4.366150125861168,0.012889333069324493,12.889333069324493,6,2,2.118555997299154e-09,0.18304323816664692,1.4403630510528842e-09,0.1244473676109692,4.614435056282673e-09,0.39868718886282295
