step,L_total,L_data,L_position,L_velocity,L_rsf,L_state,L_smooth,L_friction_reg,L_V_temporal,L_boundary_V,L_ab_prior,L_smooth_dc,Dc_mean,Dc_std,Dc_min,Dc_max,a_mean,a_std,b_mean,b_std,a_minus_b_min,a_minus_b_max,a_minus_b_mean,a_minus_b_std,tau_0_mean,tau_dot_mean,lr,lr_friction,w_rsf,w_state,V_log10_mean,V_log10_std,slip_max
0.0,0.0709577277302742,0.019334277138113976,0.018658649176359177,0.02252095192670822,0.030740249902009964,0.7326128482818604,0.006156214978545904,0.00011847580026369542,1.9506946802139282,0.002539468929171562,2.481764078140259,1.700531242931902e-06,0.022804049775004387,0.0015152767300605774,0.01823602244257927,0.027361877262592316,0.030668044462800026,0.001163935987278819,0.021817656233906746,0.0008867730502970517,0.0020404253154993057,0.014328230172395706,0.00885038822889328,0.0016123068053275347,59999996.0,0.09999999403953552,9.999999944483476e-05,1e-05,0.0,0.0,-9.688185691833496,0.4504527449607849,0.2619019150733948
99.0,0.04738658666610718,0.01882942207157612,0.017933083698153496,0.0298779234290123,0.010992227122187614,0.43248507380485535,0.0034871730022132397,4.8714889999246225e-05,0.1917678564786911,0.008694284595549107,1.4136264324188232,1.645261249905161e-06,0.022105926647782326,0.0014526837039738894,0.017741359770298004,0.026855304837226868,0.02639925852417946,0.0012665052199736238,0.023293649777770042,0.0009130387334153056,-0.002505578100681305,0.008899841457605362,0.0031056103762239218,0.0018293274333700538,59999996.0,0.09999999403953552,9.999444846167472e-05,1e-05,0.0,0.0,-8.974040985107422,0.15366627275943756,0.3693631887435913
199.0,0.03477238118648529,0.01831691525876522,0.017634887248277664,0.022734247148036957,0.014877790585160255,0.48202913999557495,0.002607438713312149,3.8281526940409094e-05,0.08718057721853256,0.002571405842900276,0.8169025778770447,1.6397366380260792e-06,0.021980661898851395,0.0013826104113832116,0.017796715721488,0.026509640738368034,0.023275252431631088,0.0012726008426398039,0.023660879582166672,0.0009374271612614393,-0.0067184679210186005,0.008694669231772423,-0.00038562604459002614,0.001888947212137282,59999996.0,0.09999999403953552,9.997779521645799e-05,1e-05,0.0,0.0,-9.000001907348633,0.07992924004793167,0.22277972102165222
299.0,0.027439942583441734,0.01828768663108349,0.01745927520096302,0.027613740414381027,0.0183604434132576,0.5387715101242065,0.0021646865643560886,4.282814188627526e-05,0.0642111599445343,0.0007450198754668236,0.4538143277168274,1.6260039501503343e-06,0.022280367091298103,0.0013398544397205114,0.018148818984627724,0.026219399645924568,0.02095533348619938,0.00122326600831002,0.023117773234844208,0.0009568958193995059,-0.007153822109103203,0.004709113389253616,-0.002162439050152898,0.0018073268001899123,59999996.0,0.09999999403953552,9.995004437328878e-05,1e-05,0.0,0.0,-9.008564949035645,0.1032506451010704,0.30769112706184387
399.0,0.023527761921286583,0.018766582012176514,0.018057065084576607,0.023650584742426872,0.009369910694658756,0.5524242520332336,0.002014635829254985,4.753000393975526e-05,0.06957962363958359,0.0006836747052147985,0.23401860892772675,1.613212361917249e-06,0.022639518603682518,0.0012640440836548805,0.0187232606112957,0.026439908891916275,0.01928151771426201,0.0012102908222004771,0.02223038114607334,0.0009668112616054714,-0.0077207498252391815,0.00375264510512352,-0.0029488627333194017,0.0017692453693598509,59999996.0,0.09999999403953552,9.991120277927234e-05,1e-05,0.0,0.0,-9.043586730957031,0.07379428297281265,0.22593086957931519
499.0,0.02118368074297905,0.018785174936056137,0.018040768802165985,0.02481355145573616,0.016347747296094894,0.5835388898849487,0.001791230752132833,5.1588460337370634e-05,0.0459282249212265,0.00019596476340666413,0.11731217801570892,1.565548473081435e-06,0.02290361374616623,0.00122410012409091,0.019244374707341194,0.02688876911997795,0.018011311069130898,0.0012216696050018072,0.021577689796686172,0.000981622957624495,-0.008098836988210678,0.0029961876571178436,-0.003566377330571413,0.0017717384034767747,59999996.0,0.09999999403953552,9.986128001799085e-05,1e-05,0.0,0.0,-9.084382057189941,0.06737396866083145,0.15524742007255554
599.0,0.02016705833375454,0.018949568271636963,0.018131904304027557,0.0272554662078619,0.011942831799387932,0.5910572409629822,0.0016957009211182594,5.4468546295538545e-05,0.046116188168525696,0.0002151020453311503,0.05824016034603119,1.5716523193987086e-06,0.023177608847618103,0.0011747966054826975,0.019187895581126213,0.02648359164595604,0.0171989593654871,0.001210454385727644,0.02110031433403492,0.00098109757527709,-0.008497576229274273,0.003743097186088562,-0.003901355667039752,0.0017967824824154377,59999996.0,0.09999999403953552,9.98002884071387e-05,1e-05,0.0,0.0,-9.095726013183594,0.06469567120075226,0.1404777467250824
699.0,0.019491693004965782,0.018866421654820442,0.01795688457787037,0.03031790815293789,0.013283967971801758,0.6051512956619263,0.001553933136165142,5.747473187511787e-05,0.043917905539274216,0.00011906835425179452,0.02878669649362564,1.498394226473465e-06,0.023305680602788925,0.0011283947387710214,0.019478481262922287,0.026974394917488098,0.016516339033842087,0.0011864238185808063,0.020746124908328056,0.0009700265363790095,-0.00868142768740654,0.0029024649411439896,-0.0042297858744859695,0.0017539304681122303,59999996.0,0.09999999403953552,9.972824299548328e-05,1e-05,0.0,0.0,-9.092772483825684,0.059351980686187744,0.14892220497131348
799.0,0.01930253952741623,0.018993332982063293,0.01825629360973835,0.024567976593971252,0.019191980361938477,0.6236599683761597,0.0014526392333209515,5.947266618022695e-05,0.031645018607378006,3.1226696592057124e-05,0.013641053810715675,1.462918589822948e-06,0.023397786542773247,0.001136662671342492,0.019025715067982674,0.027507735416293144,0.016046877950429916,0.0011421074159443378,0.020507819950580597,0.0009560521575622261,-0.008686977438628674,0.001751163974404335,-0.004460940603166819,0.0017051106551662087,59999996.0,0.09999999403953552,9.96451615591517e-05,1e-05,0.0,0.0,-9.110304832458496,0.060951463878154755,0.16039350628852844
899.0,0.018836578354239464,0.018677018582820892,0.017863178625702858,0.027128014713525772,0.01868393085896969,0.6345304846763611,0.0013667633756995201,6.108918751124293e-05,0.029108494520187378,1.959143628482707e-05,0.006291555240750313,1.4307501032817527e-06,0.02345855161547661,0.0011223520850762725,0.019851280376315117,0.027550706639885902,0.015759317204356194,0.0011500319233164191,0.020337315276265144,0.0009637618786655366,-0.009709143079817295,0.002496859058737755,-0.004577996209263802,0.0017397264018654823,59999996.0,0.09999999403953552,9.955106459724526e-05,1e-05,0.0,0.0,-9.104988098144531,0.05774472653865814,0.2139199674129486
999.0,0.01848917081952095,0.018396519124507904,0.01760043576359749,0.02653614431619644,0.012051936239004135,0.6396872997283936,0.0013794283149763942,6.25157990725711e-05,0.030165210366249084,1.7830010619945824e-05,0.0028899412136524916,1.4531569831888191e-06,0.02349247969686985,0.0010874454164877534,0.020015036687254906,0.026865437626838684,0.015494265593588352,0.0011486898874863982,0.02019755356013775,0.0009718561195768416,-0.009801737032830715,0.004969710484147072,-0.004703287500888109,0.0017388389678671956,59999996.0,0.09999999403953552,9.944597532678134e-05,1e-05,0.0,0.0,-9.117674827575684,0.06412671506404877,0.2488671839237213
1099.0,0.018921073526144028,0.01886570453643799,0.017823126167058945,0.034752607345581055,0.020319214090704918,0.6510140299797058,0.0012818954419344664,6.331784970825538e-05,0.02699403278529644,8.51339427754283e-06,0.0011919918470084667,1.433133320460911e-06,0.02348906174302101,0.0011186713818460703,0.01909167319536209,0.02691594697535038,0.015312206000089645,0.001099159475415945,0.020142242312431335,0.0009525127243250608,-0.009786754846572876,0.0025788433849811554,-0.004830036778002977,0.0016553574241697788,59999996.0,0.09999999403953552,9.932991967696495e-05,1e-05,0.0,0.0,-9.109347343444824,0.07195527851581573,0.28240323066711426
1199.0,0.01834031194448471,0.018294144421815872,0.01758514903485775,0.023633167147636414,0.02545059286057949,0.6536459922790527,0.0012682927772402763,6.378741090884432e-05,0.030872926115989685,9.728956683829892e-06,0.0005369446007534862,1.4467480013991008e-06,0.023541046306490898,0.0010711377253755927,0.020114030689001083,0.027043413370847702,0.01520420704036951,0.0010926907416433096,0.020078174769878387,0.0009381722775287926,-0.01003086194396019,0.00188494473695755,-0.004873969126492739,0.0016559524228796363,59999996.0,0.09999999403953552,9.92029262827912e-05,1e-05,0.0,0.0,-9.128988265991211,0.06075667962431908,0.18681102991104126
1299.0,0.017996126785874367,0.017958026379346848,0.016914624720811844,0.03478005528450012,0.015247981995344162,0.6542559862136841,0.0012561933835968375,6.456700066337362e-05,0.029284784570336342,1.908765443658922e-05,0.00020700713503174484,1.4174299849400995e-06,0.02352692000567913,0.0010810927487909794,0.01883879117667675,0.027525411918759346,0.015163238160312176,0.0011642944300547242,0.020073067396879196,0.00098814582452178,-0.010058712214231491,0.00248732790350914,-0.00490983109921217,0.0017486200667917728,59999996.0,0.09999999403953552,9.906502647797964e-05,1e-05,0.0,0.0,-9.13934326171875,0.06626174598932266,0.19572371244430542
1399.0,0.018143100664019585,0.018106091767549515,0.01733037829399109,0.025857120752334595,0.01723674312233925,0.6528289318084717,0.0012979560997337103,6.48332352284342e-05,0.030813068151474,2.790227699733805e-05,6.874070095364004e-05,1.426892822564696e-06,0.023535920307040215,0.0011254356941208243,0.01953279599547386,0.02788383699953556,0.015096344985067844,0.0011005554115399718,0.020040353760123253,0.0009365706937387586,-0.009922988712787628,0.0036810580641031265,-0.004944006446748972,0.0016157212667167187,59999996.0,0.09999999403953552,9.891625428724375e-05,1e-05,0.0,0.0,-9.136128425598145,0.07365871220827103,0.29107677936553955
1499.0,0.018927162513136864,0.018887318670749664,0.017933962866663933,0.03177850320935249,0.009501592256128788,0.6428388953208923,0.001350718317553401,6.476876296801493e-05,0.03422905504703522,4.416063893586397e-05,2.9058948712190613e-05,1.4358436146721942e-06,0.023498577997088432,0.0010717937257140875,0.01923900656402111,0.02712504379451275,0.015045318752527237,0.0011507220333442092,0.020026562735438347,0.000928230641875416,-0.009771248325705528,0.0015958808362483978,-0.004981243051588535,0.0017100988188758492,59999996.0,0.09999999403953552,9.87566464178955e-05,1e-05,0.0,0.0,-9.120363235473633,0.0712188333272934,0.3417607545852661
1599.0,0.018559323623776436,0.0185170229524374,0.017839405685663223,0.022587236016988754,0.01770167425274849,0.6395094394683838,0.0015952200628817081,6.531335384352133e-05,0.03582693636417389,0.00013535474136006087,1.2918068023282103e-05,1.420408125341055e-06,0.023502221331000328,0.0010805013589560986,0.01934935711324215,0.02685040608048439,0.01500583067536354,0.0010746276238933206,0.02002480812370777,0.0009723890689201653,-0.009765020571649075,0.0019337888807058334,-0.005018976517021656,0.0016722058644518256,59999996.0,0.09999999403953552,9.858624225078837e-05,1e-05,0.0,0.0,-9.125385284423828,0.09975647181272507,0.2511531412601471
1699.0,0.0184337105602026,0.01838594302535057,0.017564717680215836,0.027374176308512688,0.009721873328089714,0.6201490759849548,0.002027963288128376,6.484609184553847e-05,0.04036661610007286,0.00018347047443967313,1.4610562175221276e-05,1.3827809652866563e-06,0.023488063365221024,0.0011225857306271791,0.019938558340072632,0.027242373675107956,0.015064581297338009,0.0011255310382694006,0.01998841017484665,0.0009593141730874777,-0.009691398590803146,0.002828296273946762,-0.004923827480524778,0.0016979039646685123,59999996.0,0.09999999403953552,9.840508383060083e-05,1e-05,0.0,0.0,-9.086051940917969,0.07349575310945511,0.4673828184604645
1799.0,0.018112456426024437,0.01806003786623478,0.01746969297528267,0.019678181037306786,0.02292034588754177,0.6212096810340881,0.0024441424757242203,6.550166290253401e-05,0.042121581733226776,0.00044993366464041173,3.794526037381729e-06,1.3903257922720513e-06,0.023506689816713333,0.0010546385310590267,0.01931009069085121,0.026315780356526375,0.015005314722657204,0.0010892696445807815,0.019993551075458527,0.0009622978395782411,-0.010127273388206959,0.0014723502099514008,-0.00498823681846261,0.0016864202916622162,59999996.0,0.09999999403953552,9.821321585546243e-05,1e-05,0.0,0.0,-9.091716766357422,0.1106298416852951,0.4089822471141815
1899.0,0.019088659435510635,0.019036270678043365,0.01824498362839222,0.02637621760368347,0.018734153360128403,0.6173125505447388,0.0033324342221021652,6.509683589683846e-05,0.042550329118967056,0.000306044181343168,9.520538696961012e-06,1.3840669907949632e-06,0.023453611880540848,0.0010669667972251773,0.019047603011131287,0.026397211477160454,0.015005665831267834,0.0010859491303563118,0.019969606772065163,0.0009089093073271215,-0.010639937594532967,0.0018486175686120987,-0.004963941406458616,0.0016427853843197227,59999996.0,0.09999999403953552,9.80106856659248e-05,1e-05,0.0,0.0,-9.086033821105957,0.09193100035190582,0.47496169805526733
1999.0,0.01855541206896305,0.018501464277505875,0.017870409414172173,0.021035131067037582,0.02576906979084015,0.6131104826927185,0.003712921869009733,6.509666854981333e-05,0.04208393022418022,0.00047075306065380573,9.450746802031063e-06,1.34747892843734e-06,0.02340019680559635,0.001061718794517219,0.02005733922123909,0.026626039296388626,0.014987749978899956,0.0010834571439772844,0.019971808418631554,0.0009501049644313753,-0.00964893214404583,0.0015224982053041458,-0.0049840593710541725,0.001659334171563387,59999996.0,0.09999999403953552,9.779754323328192e-05,1e-05,0.0,0.0,-9.089861869812012,0.08438368886709213,0.5426852703094482
2099.0,0.018351243808865547,0.01825062371790409,0.01732761599123478,0.030766896903514862,0.005700975190848112,0.019198566675186157,0.0036244706716388464,6.528965604957193e-05,0.03079516999423504,0.00029751178226433694,3.110223360636155e-06,1.3752960512647405e-06,0.023226020857691765,0.0010676475940272212,0.019395627081394196,0.02705581858754158,0.015013670548796654,0.0011241249740123749,0.019966742023825645,0.0009636160684749484,-0.009739107452332973,0.003292359411716461,-0.004953072872012854,0.0017225275514647365,59999996.0,0.06710880994796753,9.757384114723954e-05,1e-05,0.00495,0.0016500000000000002,-9.044103622436523,0.0656035840511322,0.45503219962120056
2199.0,0.01815854385495186,0.018054958432912827,0.017336171120405197,0.023959573358297348,0.002495002932846546,0.013830848038196564,0.003435384249314666,6.524324999190867e-05,0.023949895054101944,0.0002124429156538099,5.710651748813689e-06,1.3283106454764493e-06,0.023256059736013412,0.0010483821388334036,0.0198675449937582,0.026763219386339188,0.014998026192188263,0.0010895099258050323,0.020000075921416283,0.0009688495774753392,-0.009593823924660683,0.0014310982078313828,-0.005002051591873169,0.0016717396210879087,59999996.0,0.03875790536403656,9.733963460294007e-05,1e-05,0.009949999999999999,0.0033166666666666665,-9.040205001831055,0.055742297321558,0.5850011110305786
2299.0,0.018598437309265137,0.018503064289689064,0.0176708921790123,0.027739083394408226,0.0008173081441782415,0.011014323681592941,0.0032917612697929144,6.522600597236305e-05,0.019133759662508965,0.0002420347009319812,7.951964107633103e-06,1.3044581237409147e-06,0.02326880767941475,0.0010778865544125438,0.019927874207496643,0.026817061007022858,0.01500562485307455,0.0010872036218643188,0.019994981586933136,0.0009647683473303914,-0.009485853835940361,0.0021381229162216187,-0.004989357199519873,0.0016560392687097192,59999996.0,0.019341781735420227,9.709498138734405e-05,1e-05,0.01495,0.0049833333333333335,-9.034616470336914,0.0482521653175354,0.5635020732879639
2399.0,0.019019510596990585,0.01892450451850891,0.018085509538650513,0.027966521680355072,0.0005438934895209968,0.008951416239142418,0.003201280254870653,6.498234870377928e-05,0.015459473244845867,0.0002649195957928896,3.4329650588915683e-06,1.227832171935006e-06,0.023297738283872604,0.0010354428086429834,0.02016868256032467,0.02660311944782734,0.015007919631898403,0.0011092507047578692,0.01999960094690323,0.0009831392671912909,-0.009458552114665508,0.0015489794313907623,-0.004991680849343538,0.0017143659060820937,59999996.0,0.006873168982565403,9.683994186497132e-05,1e-05,0.01995,0.0066500000000000005,-9.031455993652344,0.045060668140649796,0.49306780099868774
2499.0,0.018761012703180313,0.018659569323062897,0.01786067523062229,0.02662983350455761,0.0004774263361468911,0.008021597750484943,0.0032161427661776543,6.539983587572351e-05,0.013608974404633045,0.00024316813505720347,1.4554314475390129e-05,1.1998896525255986e-06,0.023299891501665115,0.001000271993689239,0.019464442506432533,0.027056381106376648,0.014939121901988983,0.0010513976449146867,0.019973793998360634,0.0009399683331139386,-0.00990897323936224,0.0010595247149467468,-0.005034673027694225,0.0016302536241710186,59999996.0,5.9535432228585705e-05,9.657457896300796e-05,1e-05,0.02495,0.008316666666666667,-9.03406047821045,0.04826095327734947,0.4811984896659851
2599.0,0.01816731132566929,0.018073536455631256,0.017384734004735947,0.02296009659767151,0.0003293743939138949,0.0065180351957678795,0.002887654583901167,6.518865120597184e-05,0.011085941456258297,0.0001482287625549361,6.009950993757229e-06,1.2266522162462934e-06,0.023324111476540565,0.0009864167077466846,0.019870946183800697,0.026232317090034485,0.015022385865449905,0.0011278367601335049,0.020015563815832138,0.0009595469455234706,-0.009847855195403099,0.003242090344429016,-0.00499317841604352,0.0017087510786950588,59999996.0,-0.0030356377828866243,9.629895815577929e-05,1e-05,0.029949999999999997,0.009983333333333334,-9.013888359069824,0.04803634434938431,0.6258440017700195
2699.0,0.0182394627481699,0.01814199611544609,0.017369475215673447,0.025750689208507538,0.0002941024722531438,0.005900491960346699,0.0027684681117534637,6.50456131552346e-05,0.010487392544746399,0.00018384947907179594,5.021408014727058e-06,1.10306598344323e-06,0.023334933444857597,0.0009820581180974841,0.020088907331228256,0.026651959866285324,0.015009677037596703,0.001106354291550815,0.02000880241394043,0.0009860544232651591,-0.009920991025865078,0.002677515149116516,-0.004999122582376003,0.0017134689260274172,59999996.0,-0.004193777684122324,9.601314744859518e-05,1e-05,0.03495,0.01165,-9.035745620727539,0.03998510167002678,0.5699508190155029
2799.0,0.01817251183092594,0.018072664737701416,0.017241064459085464,0.02772003971040249,0.00033385222195647657,0.005236305296421051,0.002808663994073868,6.574680446647108e-05,0.00896839052438736,0.00014699745224788785,1.2154841897427104e-05,1.1052741228922969e-06,0.023366613313555717,0.0009663888486102223,0.019909055903553963,0.02642115391790867,0.015018647536635399,0.0011101050768047571,0.019959289580583572,0.0009677934576757252,-0.009437299333512783,0.002692524343729019,-0.004940641578286886,0.001695197424851358,59999996.0,-0.0044584996066987514,9.571721736097102e-05,1e-05,0.03994999999999999,0.013316666666666666,-9.038681030273438,0.03761129453778267,0.5692563056945801
2899.0,0.018810581415891647,0.018711678683757782,0.017812790349125862,0.029962927103042603,0.0003218610945623368,0.0045911516062915325,0.002685658633708954,6.519127055071294e-05,0.00814951490610838,0.00014308688696473837,5.8700525187305175e-06,1.050471723829105e-06,0.023400958627462387,0.0009599903132766485,0.02049204520881176,0.0265722144395113,0.015019891783595085,0.0011322824284434319,0.01998896896839142,0.0009747980511747301,-0.00959036499261856,0.0021203234791755676,-0.004969076719135046,0.0017273559933528304,59999996.0,-0.004670499358326197,9.541124090922784e-05,1e-05,0.044950000000000004,0.014983333333333335,-9.041644096374512,0.03948374092578888,0.5225030183792114
2999.0,0.018623357638716698,0.01850644312798977,0.017695333808660507,0.02703695558011532,0.0003764866560231894,0.0049087777733802795,0.0028673780616372824,6.51476439088583e-05,0.008739461190998554,0.00014324446965474635,4.023675046482822e-06,9.999851044995012e-07,0.023410486057400703,0.0009606117964722216,0.01995084621012211,0.02649475820362568,0.015013908967375755,0.0011115336092188954,0.0199924074113369,0.0009734549093991518,-0.010068297386169434,0.0017692260444164276,-0.004978498909622431,0.0017181283328682184,59999996.0,-0.0048477803356945515,9.50952935884767e-05,1e-05,0.04995,0.01665,-9.02711296081543,0.03648453950881958,0.647923469543457
3099.0,0.018373405560851097,0.018248261883854866,0.01746077835559845,0.026249464601278305,0.0003388135228306055,0.0048848362639546394,0.002655548509210348,6.514429696835577e-05,0.008942329324781895,0.00020229024812579155,8.603412425145507e-06,9.836096523940796e-07,0.023435143753886223,0.0009068626677617431,0.020511746406555176,0.026483893394470215,0.014987030066549778,0.00113039487041533,0.020013492554426193,0.0009486445342190564,-0.009637330658733845,0.001873806118965149,-0.005026459228247404,0.0017218568827956915,59999996.0,-0.004851877223700285,9.476945335399136e-05,1e-05,0.05495,0.01831666666666667,-9.04594612121582,0.042784981429576874,0.5503509044647217
3199.0,0.019222475588321686,0.0191060658544302,0.018332038074731827,0.02580091916024685,0.00033241056371480227,0.004055192228406668,0.0025718531105667353,6.479384319391102e-05,0.007856297306716442,0.0001586222497280687,9.42634233069839e-06,9.32054604163568e-07,0.02344842441380024,0.0009022195590659976,0.020446747541427612,0.026475930586457253,0.014967666938900948,0.0010975539917126298,0.020009001716971397,0.000933814502786845,-0.009706655517220497,0.002657610923051834,-0.005041335243731737,0.0016758216079324484,59999996.0,-0.004771170672029257,9.443380060197401e-05,1e-05,0.059949999999999996,0.019983333333333336,-9.046173095703125,0.03859364986419678,0.6383509635925293
