step,L_total,L_data,L_position,L_velocity,L_rsf,L_state,L_smooth,L_friction_reg,L_V_temporal,L_boundary_V,L_ab_prior,L_dc_prior,Dc_mean,Dc_std,Dc_min,Dc_max,a_mean,a_std,b_mean,b_std,a_minus_b_min,a_minus_b_max,a_minus_b_mean,a_minus_b_std,tau_0_mean,tau_dot_mean,lr,w_rsf,w_state,V_log10_mean,V_log10_std,slip_max
0.0,0.0476943738758564,0.01849348284304142,0.01770789921283722,0.026186106726527214,0.023519650101661682,1.0896360874176025,0.007633288390934467,6.781498086638749e-05,2.3019886016845703,0.0009103058255277574,1.0945155620574951,0.4988466203212738,0.027033498510718346,0.002231665188446641,0.021698521450161934,0.03183753788471222,0.022245706990361214,0.001160854590125382,0.02752085216343403,0.00113300618249923,-0.010224033147096634,0.0009176097810268402,-0.00527514424175024,0.0016693411162123084,59999996.0,0.09999999403953552,9.999999944483476e-05,0.0,0.0,-9.28366470336914,0.46084046363830566,0.32430219650268555
99.0,0.018826819956302643,0.01847870834171772,0.017624638974666595,0.02846897393465042,0.01424863375723362,2.725919246673584,0.005185490474104881,7.23618213669397e-05,0.20044051110744476,0.013831162825226784,1.614899156265892e-05,2.345314533158671e-05,0.02002122811973095,0.001440802006982267,0.01648709923028946,0.026189886033535004,0.014987461268901825,0.0011019855737686157,0.02003510296344757,0.0009368003811687231,-0.009172003716230392,-0.0010395906865596771,-0.005047640763223171,0.0011157846311107278,59999996.0,0.09999999403953552,9.999444846167472e-05,0.0,0.0,-8.829655647277832,0.18503440916538239,0.23468199372291565
199.0,0.018672578036785126,0.018381396308541298,0.01774531602859497,0.021202675998210907,0.010586937889456749,2.986151695251465,0.0039464691653847694,7.182690751506016e-05,0.08796022832393646,0.019542789086699486,8.044051355682313e-06,9.582028724253178e-06,0.020001055672764778,0.0014274819986894727,0.016361413523554802,0.026385203003883362,0.015028857626020908,0.0011264855274930596,0.019984226673841476,0.0009279946680180728,-0.009192006662487984,-0.0006196815520524979,-0.004955369513481855,0.0011669384548440576,59999996.0,0.09999999403953552,9.997779521645799e-05,0.0,0.0,-8.655725479125977,0.1241925060749054,0.22018186748027802
299.0,0.019018318504095078,0.018839670345187187,0.017997339367866516,0.028077710419893265,0.012363897636532784,2.194770574569702,0.0029871908482164145,7.189129973994568e-05,0.13209398090839386,0.003971533849835396,9.461311492486857e-06,6.6183301896671765e-06,0.01996956765651703,0.0014250261010602117,0.01695265620946884,0.025017576292157173,0.015008965507149696,0.0011188068892806768,0.02002241462469101,0.0009390979539602995,-0.009531700983643532,0.0006183367222547531,-0.0050134481862187386,0.0011808676645159721,59999996.0,0.09999999403953552,9.995004437328878e-05,0.0,0.0,-9.009334564208984,0.09217188507318497,0.311125785112381
399.0,0.018426144495606422,0.018234960734844208,0.01748509146273136,0.024995630607008934,0.003964992240071297,2.157945156097412,0.0026050114538520575,7.216144149424508e-05,0.14422498643398285,0.004055369645357132,8.7451480794698e-06,1.7227375792572275e-06,0.019989626482129097,0.0014255504356697202,0.016686126589775085,0.026352759450674057,0.014980515465140343,0.001112466212362051,0.02003186196088791,0.0009153129067271948,-0.009114365093410015,-0.0012456122785806656,-0.005051347427070141,0.001150702009908855,59999996.0,0.09999999403953552,9.991120277927234e-05,0.0,0.0,-8.98539924621582,0.0864720344543457,0.2910401225090027
499.0,0.018581008538603783,0.01845121756196022,0.017551347613334656,0.029995642602443695,0.009303960017859936,2.094388484954834,0.0022089029662311077,7.178115629358217e-05,0.0997534915804863,0.002405923791229725,8.561307367926929e-06,6.785678010601259e-07,0.019994493573904037,0.0014207029016688466,0.01676969602704048,0.027159279212355614,0.014968051575124264,0.0011186174815520644,0.019993163645267487,0.0009036825504153967,-0.00934681762009859,0.0001903194934129715,-0.005025109741836786,0.0011390338186174631,59999996.0,0.09999999403953552,9.986128001799085e-05,0.0,0.0,-8.960668563842773,0.11540420353412628,0.19029296934604645
599.0,0.018868016079068184,0.0187907125800848,0.018011104315519333,0.025986917316913605,0.012575255706906319,1.99278724193573,0.0019362566526979208,7.169391756178811e-05,0.06448083370923996,0.0007208948954939842,2.4644111817906378e-06,4.2457954805286136e-06,0.01999436318874359,0.0014288084348663688,0.016958128660917282,0.025029076263308525,0.014987661503255367,0.0011239091400057077,0.019981371238827705,0.0009242712985724211,-0.008361510001122952,0.0003914274275302887,-0.004993711598217487,0.001158406725153327,59999996.0,0.09999999403953552,9.98002884071387e-05,0.0,0.0,-9.005159378051758,0.0748889148235321,0.25817665457725525
699.0,0.019129140302538872,0.01905575394630432,0.018284454941749573,0.025709938257932663,0.010339770466089249,1.953833818435669,0.0017531098565086722,7.149995508370921e-05,0.062355875968933105,0.0005538536934182048,4.8989909373631235e-06,6.720166311424691e-06,0.02000540867447853,0.001425802824087441,0.01671503856778145,0.025569260120391846,0.015034814365208149,0.0011538853868842125,0.02001236379146576,0.0009179327171295881,-0.009891682304441929,-0.00020812824368476868,-0.004977548029273748,0.001208522473461926,59999996.0,0.09999999403953552,9.972824299548328e-05,0.0,0.0,-9.015308380126953,0.07920132577419281,0.1909068375825882
799.0,0.018022580072283745,0.0179605633020401,0.017218396067619324,0.024738935753703117,0.014621659182012081,1.9148612022399902,0.0016020177863538265,7.122896931832656e-05,0.053590189665555954,0.0003064444463234395,7.546905180788599e-06,4.780227300216211e-06,0.019999541342258453,0.0014201875310391188,0.01668601483106613,0.025781705975532532,0.01500052772462368,0.001128421863541007,0.02001038007438183,0.0008999379351735115,-0.009388133883476257,-0.00128963403403759,-0.005009854212403297,0.0011817595222964883,59999996.0,0.09999999403953552,9.96451615591517e-05,0.0,0.0,-9.027050018310547,0.08222998678684235,0.16396211087703705
899.0,0.018302995711565018,0.018242722377181053,0.01758834533393383,0.0218125618994236,0.012967662885785103,1.8743095397949219,0.0014036279171705246,7.11684551788494e-05,0.05312616378068924,0.00019171011808793992,9.34978925215546e-06,8.287366654258221e-06,0.02002294547855854,0.0014237287687137723,0.016931306570768356,0.025655951350927353,0.015009353868663311,0.001160058076493442,0.019959397614002228,0.0008798737544566393,-0.009503641165792942,-0.0006490461528301239,-0.004950043745338917,0.0012178728356957436,59999996.0,0.09999999403953552,9.955106459724526e-05,0.0,0.0,-9.042764663696289,0.07708432525396347,0.18385525047779083
