step,L_total,L_data,L_position,L_velocity,L_rsf,L_state,L_smooth,L_friction_reg,L_V_temporal,L_boundary_V,a_minus_b_min,a_minus_b_max,a_minus_b_mean,a_minus_b_std,tau_0_mean,tau_dot_mean,lr,w_rsf,w_state,V_log10_mean,V_log10_std,slip_max
0.0,0.021553833037614822,0.019216220825910568,0.018360480666160583,0.028524694964289665,0.02584284543991089,1.4786646366119385,0.006321631371974945,6.151887646410614e-05,2.233900547027588,0.009431585669517517,0.00041414983570575714,0.005610989406704903,0.0028339577838778496,0.0007008252432569861,59999996.0,0.09999999403953552,9.999999944483476e-05,0.0,0.0,-9.568304061889648,0.45519012212753296,0.39938896894454956
99.0,0.020656682550907135,0.018876122310757637,0.018143078312277794,0.024434775114059448,0.016326768323779106,1.2689200639724731,0.006157266907393932,5.894995069866127e-07,1.1347402334213257,0.06396333128213882,-0.01151241734623909,0.014780199155211449,2.4865879822755232e-05,0.00843300111591816,59999996.0,0.09999999403953552,9.999444846167472e-05,0.0,0.0,-8.52557373046875,0.3651970326900482,0.45232638716697693
199.0,0.020351868122816086,0.019714701920747757,0.018892869353294373,0.02739444002509117,0.017546163871884346,2.5978355407714844,0.0030896540265530348,4.955352324031992e-07,0.055018581449985504,0.057903315871953964,-0.011223100125789642,0.015006618574261665,8.310098564834334e-06,0.007966665551066399,59999996.0,0.09999999403953552,9.997779521645799e-05,0.0,0.0,-8.919079780578613,0.19385062158107758,0.38075965642929077
299.0,0.01885688677430153,0.018728747963905334,0.017927980050444603,0.026692284271121025,0.011280078440904617,1.461106300354004,0.0014086494920775294,4.392098844618886e-07,0.09912613779306412,0.0027582745533436537,-0.010904908180236816,0.014059813693165779,-5.5161108321044594e-05,0.007943487726151943,59999996.0,0.09999999403953552,9.995004437328878e-05,0.0,0.0,-8.979315757751465,0.09811978787183762,0.3361304700374603
399.0,0.018896719440817833,0.018790826201438904,0.018067648634314537,0.024105947464704514,0.016879867762327194,1.4504846334457397,0.001317154965363443,3.7431556165756774e-07,0.08801916986703873,0.0016537883784621954,-0.011266442015767097,0.014060098677873611,-2.163274803024251e-05,0.007932599633932114,59999996.0,0.09999999403953552,9.991120277927234e-05,0.0,0.0,-9.02000617980957,0.09592951089143753,0.2653173506259918
499.0,0.01930341310799122,0.018839184194803238,0.018070168793201447,0.025633838027715683,0.014796227216720581,2.193551540374756,0.003242457052692771,3.5181696489416936e-07,0.031246138736605644,0.042972348630428314,-0.01088041439652443,0.014636265113949776,1.1721996997948736e-05,0.00793463084846735,59999996.0,0.09999999403953552,9.986128001799085e-05,0.0,0.0,-8.616901397705078,0.08365023136138916,0.26767435669898987
599.0,0.018549133092164993,0.018461044877767563,0.017639359459280968,0.027389494702219963,0.008235810324549675,1.5312613248825073,0.0020946201402693987,3.2124978588399244e-07,0.049703069031238556,0.0036273121368139982,-0.011059843003749847,0.013808732852339745,-2.8458554879762232e-05,0.007951730862259865,59999996.0,0.09999999403953552,9.98002884071387e-05,0.0,0.0,-8.922931671142578,0.07641272246837616,0.27324020862579346
699.0,0.01844167150557041,0.01837885193526745,0.017632372677326202,0.024882640689611435,0.018319398164749146,1.4146274328231812,0.0019969369750469923,3.08558298911521e-07,0.05314996466040611,0.0007656970992684364,-0.01119306031614542,0.014300381764769554,-3.313133731808193e-07,0.00797438807785511,59999996.0,0.09999999403953552,9.972824299548328e-05,0.0,0.0,-9.041083335876465,0.0824635699391365,0.21542888879776
799.0,0.018182413652539253,0.01811167597770691,0.01743190735578537,0.02265896275639534,0.012450812384486198,1.3897947072982788,0.0018401911947876215,2.6946588604914723e-07,0.06492441147565842,0.0003960594185627997,-0.011158645153045654,0.014547158032655716,3.3486505799373845e-06,0.007960932329297066,59999996.0,0.09999999403953552,9.96451615591517e-05,0.0,0.0,-9.09315013885498,0.08482562750577927,0.2990383803844452
899.0,0.018481239676475525,0.018417799845337868,0.017563877627253532,0.02846408262848854,0.01143223699182272,1.3882029056549072,0.0017884200206026435,2.546222503951867e-07,0.05798237398266792,0.0003656535118352622,-0.01084043551236391,0.01451236940920353,3.0145920391078107e-05,0.007968197576701641,59999996.0,0.09999999403953552,9.955106459724526e-05,0.0,0.0,-9.070001602172852,0.08093459904193878,0.29606109857559204
