step,L_total,L_data,L_position,L_velocity,L_rsf,L_state,L_smooth,L_friction_reg,L_V_temporal,L_boundary_V,L_ab_prior,a_mean,a_std,b_mean,b_std,a_minus_b_min,a_minus_b_max,a_minus_b_mean,a_minus_b_std,tau_0_mean,tau_dot_mean,lr,w_rsf,w_state,V_log10_mean,V_log10_std,slip_max
0.0,0.0330774262547493,0.01863124594092369,0.01775233820080757,0.029296915978193283,0.01795225404202938,1.2465050220489502,0.009598438628017902,3.6849407479166985e-05,2.0804219245910645,0.00942528061568737,0.6130031943321228,0.02207588031888008,0.00104533729609102,0.02333889529109001,0.0013948208652436733,-0.007089884951710701,0.006964048370718956,-0.0012630174169316888,0.002088588662445545,59999996.0,0.09999999403953552,9.999999944483476e-05,0.0,0.0,-9.131373405456543,0.40949833393096924,0.2828846573829651
99.0,0.020094191655516624,0.01919502206146717,0.018406182527542114,0.02629462257027626,0.015826625749468803,2.80885648727417,0.0060979328118264675,6.194700836203992e-05,0.20396685600280762,0.06856143474578857,1.969272125279531e-05,0.015028862282633781,0.0008675674325786531,0.02005351148545742,0.0013888630783185363,-0.011220188811421394,0.0018836762756109238,-0.005024650599807501,0.00194369291421026,59999996.0,0.09999999403953552,9.999444846167472e-05,0.0,0.0,-8.47426700592041,0.1554359793663025,0.30599504709243774
199.0,0.01871287077665329,0.018293436616659164,0.017521075904369354,0.0257453303784132,0.012773826718330383,2.1315665245056152,0.004209399223327637,6.177969771670178e-05,0.07924710959196091,0.03327979892492294,4.6085733629297465e-06,0.015009398572146893,0.0008756541647017002,0.02000351808965206,0.0013984502293169498,-0.011701036244630814,0.0008441172540187836,-0.0049941218458116055,0.0019719565752893686,59999996.0,0.09999999403953552,9.997779521645799e-05,0.0,0.0,-8.714627265930176,0.11433139443397522,0.3618255853652954
299.0,0.01974894106388092,0.018944542855024338,0.018154170364141464,0.02634577825665474,0.015435168519616127,2.705219030380249,0.003363299649208784,6.132567068561912e-05,0.08748548477888107,0.07103671133518219,5.880644494027365e-06,0.015014157630503178,0.0008903999696485698,0.01999218948185444,0.001393533661030233,-0.010969596914947033,0.0023701880127191544,-0.0049780323170125484,0.0019702063873410225,59999996.0,0.09999999403953552,9.995004437328878e-05,0.0,0.0,-8.413796424865723,0.07489419728517532,0.27677685022354126
399.0,0.019412703812122345,0.01909409835934639,0.01835818961262703,0.024530313909053802,0.017519056797027588,1.9722861051559448,0.002036778489127755,6.087041401769966e-05,0.04365452751517296,0.026965608820319176,1.0757954441942275e-05,0.015002408996224403,0.0008904387941583991,0.020004674792289734,0.001397817162796855,-0.010909056290984154,0.0021700356155633926,-0.0050022657960653305,0.002002079738304019,59999996.0,0.09999999403953552,9.991120277927234e-05,0.0,0.0,-8.82059383392334,0.05032724887132645,0.36492252349853516
499.0,0.018474189564585686,0.01832408830523491,0.01758868247270584,0.02451350912451744,0.017914367839694023,1.431830644607544,0.0016118441708385944,6.0810936702182516e-05,0.1352633684873581,0.0010076080216094851,5.510429673449835e-06,0.014999622479081154,0.0009151232079602778,0.02000841125845909,0.0014657085994258523,-0.01192704401910305,0.0011618677526712418,-0.005008791107684374,0.0020899814553558826,59999996.0,0.09999999403953552,9.986128001799085e-05,0.0,0.0,-9.03131103515625,0.07122751325368881,0.25998562574386597
599.0,0.019084420055150986,0.018993113189935684,0.018240556120872498,0.02508525177836418,0.013727161101996899,1.5061321258544922,0.001540581462904811,5.9564390539890155e-05,0.06388046592473984,0.0022677090018987656,1.1465587704151403e-05,0.015024704858660698,0.0009076967835426331,0.019971810281276703,0.0014706488000229,-0.01140123512595892,0.0019085370004177094,-0.004947104956954718,0.0020907067228108644,59999996.0,0.09999999403953552,9.98002884071387e-05,0.0,0.0,-9.055861473083496,0.06630095094442368,0.27054134011268616
699.0,0.018839480355381966,0.018735790625214577,0.017848147079348564,0.029588110744953156,0.01098740752786398,1.4132941961288452,0.0014932308113202453,5.908453022129834e-05,0.09494037181138992,0.0004179176758043468,6.0356042013154365e-06,0.015015033073723316,0.0009421778377145529,0.01997782476246357,0.001495735952630639,-0.011609823442995548,0.002055075019598007,-0.0049627916887402534,0.002163877245038748,59999996.0,0.09999999403953552,9.972824299548328e-05,0.0,0.0,-9.018576622009277,0.08047732710838318,0.1856176257133484
799.0,0.019115891307592392,0.01906152255833149,0.01829095557332039,0.025685571134090424,0.015371253713965416,1.4960732460021973,0.0012220307253301144,5.826438427902758e-05,0.03394906967878342,0.0016153051983565092,6.585006303794216e-06,0.015009348280727863,0.000981858349405229,0.019979117438197136,0.0015578388702124357,-0.010808990336954594,0.0030629578977823257,-0.004969769157469273,0.0022830257657915354,59999996.0,0.09999999403953552,9.96451615591517e-05,0.0,0.0,-8.963994979858398,0.05921247974038124,0.1998337358236313
899.0,0.01891207881271839,0.018849363550543785,0.01789507269859314,0.031809721142053604,0.005567210726439953,1.4484541416168213,0.0012278890935704112,5.700052861357108e-05,0.051413316279649734,0.0007079585338942707,7.26849566490273e-06,0.015002994798123837,0.0009990959661081433,0.01999637484550476,0.001594515168108046,-0.012406322173774242,0.0018176045268774033,-0.004993382375687361,0.0023366031236946583,59999996.0,0.09999999403953552,9.955106459724526e-05,0.0,0.0,-9.090418815612793,0.05943024531006813,0.26897960901260376
